"Date";"New Positive Cases";"New Probable Cases";"New Total Cases";"Cumulative Confirmed Cases";"Cumulative Total Cases"
"03/01/2020";"0";"0";"0";"0";"0"
"03/02/2020";"1";"0";"1";"1";"1"
"03/03/2020";"0";"0";"0";"1";"1"
"03/04/2020";"0";"0";"0";"1";"1"
"03/05/2020";"4";"0";"4";"5";"5"
"03/06/2020";"1";"0";"1";"6";"6"
"03/07/2020";"0";"0";"0";"6";"6"
"03/08/2020";"2";"0";"2";"8";"8"
"03/09/2020";"1";"0";"1";"9";"9"
"03/10/2020";"3";"0";"3";"12";"12"
"03/11/2020";"4";"0";"4";"16";"16"
"03/12/2020";"3";"0";"3";"19";"19"
"03/13/2020";"0";"0";"0";"19";"19"
"03/14/2020";"4";"1";"5";"23";"24"
"03/15/2020";"1";"0";"1";"24";"25"
"03/16/2020";"4";"0";"4";"28";"29"
"03/17/2020";"4";"2";"6";"32";"35"
"03/18/2020";"5";"0";"5";"37";"40"
"03/19/2020";"7";"0";"7";"44";"47"
"03/20/2020";"4";"0";"4";"48";"51"
"03/21/2020";"6";"2";"8";"54";"59"
"03/22/2020";"10";"0";"10";"64";"69"
"03/23/2020";"6";"2";"8";"70";"77"
"03/24/2020";"1";"0";"1";"71";"78"
"03/25/2020";"11";"0";"11";"82";"89"
"03/26/2020";"12";"0";"12";"94";"101"
"03/27/2020";"3";"0";"3";"97";"104"
"03/28/2020";"7";"0";"7";"104";"111"
"03/29/2020";"9";"0";"9";"113";"120"
"03/30/2020";"10";"0";"10";"123";"130"
"03/31/2020";"17";"0";"17";"140";"147"
"04/01/2020";"11";"0";"11";"151";"158"
"04/02/2020";"10";"0";"10";"161";"168"
"04/03/2020";"13";"0";"13";"174";"181"
"04/04/2020";"18";"0";"18";"192";"199"
"04/05/2020";"11";"0";"11";"203";"210"
"04/06/2020";"22";"0";"22";"225";"232"
"04/07/2020";"22";"0";"22";"247";"254"
"04/08/2020";"18";"0";"18";"265";"272"
"04/09/2020";"79";"0";"79";"344";"351"
"04/10/2020";"90";"0";"90";"434";"441"
"04/11/2020";"12";"0";"12";"446";"453"
"04/12/2020";"10";"0";"10";"456";"463"
"04/13/2020";"15";"0";"15";"471";"478"
"04/14/2020";"6";"0";"6";"477";"484"
"04/15/2020";"14";"0";"14";"491";"498"
"04/16/2020";"53";"0";"53";"544";"551"
"04/17/2020";"31";"1";"32";"575";"583"
"04/18/2020";"32";"0";"32";"607";"615"
"04/19/2020";"12";"0";"12";"619";"627"
"04/20/2020";"7";"0";"7";"626";"634"
"04/21/2020";"18";"0";"18";"644";"652"
"04/22/2020";"23";"0";"23";"667";"675"
"04/23/2020";"19";"1";"20";"686";"695"
"04/24/2020";"20";"0";"20";"706";"715"
"04/25/2020";"6";"0";"6";"712";"721"
"04/26/2020";"4";"0";"4";"716";"725"
"04/27/2020";"11";"0";"11";"727";"736"
"04/28/2020";"11";"1";"12";"738";"748"
"04/29/2020";"14";"0";"14";"752";"762"
"04/30/2020";"3";"1";"4";"755";"766"
"05/01/2020";"12";"1";"13";"767";"779"
"05/02/2020";"0";"0";"0";"767";"779"
"05/03/2020";"4";"2";"6";"771";"785"
"05/04/2020";"12";"1";"13";"783";"798"
"05/05/2020";"9";"0";"9";"792";"807"
"05/06/2020";"9";"1";"10";"801";"817"
"05/07/2020";"9";"0";"9";"810";"826"
"05/08/2020";"11";"0";"11";"821";"837"
"05/09/2020";"1";"0";"1";"822";"838"
"05/10/2020";"3";"0";"3";"825";"841"
"05/11/2020";"6";"0";"6";"831";"847"
"05/12/2020";"5";"0";"5";"836";"852"
"05/13/2020";"7";"0";"7";"843";"859"
"05/14/2020";"6";"0";"6";"849";"865"
"05/15/2020";"5";"0";"5";"854";"870"
"05/16/2020";"0";"0";"0";"854";"870"
"05/17/2020";"4";"0";"4";"858";"874"
"05/18/2020";"8";"0";"8";"866";"882"
"05/19/2020";"6";"0";"6";"872";"888"
"05/20/2020";"14";"1";"15";"886";"903"
"05/21/2020";"2";"0";"2";"888";"905"
"05/22/2020";"4";"1";"5";"892";"910"
"05/23/2020";"2";"0";"2";"894";"912"
"05/24/2020";"2";"0";"2";"896";"914"
"05/25/2020";"5";"0";"5";"901";"919"
"05/26/2020";"4";"0";"4";"905";"923"
"05/27/2020";"4";"0";"4";"909";"927"
"05/28/2020";"5";"0";"5";"914";"932"
"05/29/2020";"1";"0";"1";"915";"933"
"05/30/2020";"1";"0";"1";"916";"934"
"05/31/2020";"0";"0";"0";"916";"934"
"06/01/2020";"5";"0";"5";"921";"939"
"06/02/2020";"1";"0";"1";"922";"940"
"06/03/2020";"5";"0";"5";"927";"945"
"06/04/2020";"3";"0";"3";"930";"948"
"06/05/2020";"2";"0";"2";"932";"950"
"06/06/2020";"2";"0";"2";"934";"952"
"06/07/2020";"0";"0";"0";"934";"952"
"06/08/2020";"0";"0";"0";"934";"952"
"06/09/2020";"0";"1";"1";"934";"953"
"06/10/2020";"0";"1";"1";"934";"954"
"06/11/2020";"0";"1";"1";"934";"955"
"06/12/2020";"3";"1";"4";"937";"959"
"06/13/2020";"3";"0";"3";"940";"962"
"06/14/2020";"0";"0";"0";"940";"962"
"06/15/2020";"1";"0";"1";"941";"963"
"06/16/2020";"1";"0";"1";"942";"964"
"06/17/2020";"6";"0";"6";"948";"970"
"06/18/2020";"2";"0";"2";"950";"972"
"06/19/2020";"0";"0";"0";"950";"972"
"06/20/2020";"0";"0";"0";"950";"972"
"06/21/2020";"0";"0";"0";"950";"972"
"06/22/2020";"4";"0";"4";"954";"976"
"06/23/2020";"1";"0";"1";"955";"977"
"06/24/2020";"4";"2";"6";"959";"983"
"06/25/2020";"0";"0";"0";"959";"983"
"06/26/2020";"1";"1";"2";"960";"985"
"06/27/2020";"0";"0";"0";"960";"985"
"06/28/2020";"1";"1";"2";"961";"987"
"06/29/2020";"1";"0";"1";"962";"988"
"06/30/2020";"4";"1";"5";"966";"993"
"07/01/2020";"2";"2";"4";"968";"997"
"07/02/2020";"0";"0";"0";"968";"997"
"07/03/2020";"1";"0";"1";"969";"998"
"07/04/2020";"0";"0";"0";"969";"998"
"07/05/2020";"1";"0";"1";"970";"999"
"07/06/2020";"2";"0";"2";"972";"1,001"
"07/07/2020";"1";"1";"2";"973";"1,003"
"07/08/2020";"1";"0";"1";"974";"1,004"
"07/09/2020";"1";"0";"1";"975";"1,005"
