"Date";"New Positive Cases";"New Probable Cases";"New Total Cases";"Cumulative Confirmed Cases";"Cumulative Total Cases"
"01/15/2021";"33";"3";"36";"3564";"3689"
"01/16/2021";"32";"0";"32";"3596";"3721"
"01/17/2021";"15";"0";"15";"3611";"3736"
"01/18/2021";"24";"1";"25";"3635";"3761"
"01/19/2021";"52";"0";"52";"3687";"3813"
"01/20/2021";"49";"1";"50";"3736";"3863"
"01/21/2021";"36";"3";"39";"3772";"3902"
"01/22/2021";"29";"0";"29";"3801";"3931"
"01/23/2021";"19";"1";"20";"3820";"3951"
"01/24/2021";"19";"3";"22";"3839";"3973"
"01/25/2021";"41";"0";"41";"3880";"4014"
"01/26/2021";"34";"2";"36";"3914";"4050"
"01/27/2021";"33";"0";"33";"3947";"4083"
"01/28/2021";"31";"0";"31";"3978";"4114"
"01/29/2021";"15";"0";"15";"3993";"4129"
"01/30/2021";"20";"0";"20";"4013";"4149"
"01/31/2021";"21";"2";"23";"4034";"4172"
"02/01/2021";"22";"1";"23";"4056";"4195"
"02/02/2021";"16";"1";"17";"4072";"4212"
"02/03/2021";"21";"0";"21";"4093";"4233"
"02/04/2021";"20";"1";"21";"4113";"4254"
"02/05/2021";"14";"2";"16";"4127";"4270"
"02/06/2021";"8";"1";"9";"4135";"4279"
"02/07/2021";"7";"0";"7";"4142";"4286"
"02/08/2021";"23";"0";"23";"4165";"4309"
"02/09/2021";"13";"2";"15";"4178";"4324"
"02/10/2021";"12";"1";"13";"4190";"4337"
"02/11/2021";"18";"2";"20";"4208";"4357"
"02/12/2021";"15";"1";"16";"4223";"4373"
"02/13/2021";"16";"1";"17";"4239";"4390"
"02/14/2021";"9";"0";"9";"4248";"4399"
"02/15/2021";"14";"3";"17";"4262";"4416"
"02/16/2021";"23";"0";"23";"4285";"4439"
"02/17/2021";"15";"1";"16";"4300";"4455"
"02/18/2021";"15";"4";"19";"4315";"4474"
"02/19/2021";"9";"1";"10";"4324";"4484"
"02/20/2021";"17";"3";"20";"4341";"4504"
"02/21/2021";"8";"2";"10";"4349";"4514"
"02/22/2021";"24";"2";"26";"4373";"4540"
"02/23/2021";"17";"0";"17";"4390";"4557"
"02/24/2021";"11";"2";"13";"4401";"4570"
"02/25/2021";"22";"2";"24";"4423";"4594"
"02/26/2021";"16";"1";"17";"4439";"4611"
"02/27/2021";"20";"0";"20";"4459";"4631"
"02/28/2021";"13";"1";"14";"4472";"4645"
"03/01/2021";"22";"1";"23";"4494";"4668"
"03/02/2021";"18";"0";"18";"4512";"4686"
"03/03/2021";"34";"1";"35";"4546";"4721"
"03/04/2021";"23";"1";"24";"4569";"4745"
"03/05/2021";"19";"2";"21";"4588";"4766"
"03/06/2021";"18";"2";"20";"4606";"4786"
"03/07/2021";"12";"5";"17";"4618";"4803"
"03/08/2021";"15";"2";"17";"4633";"4820"
"03/09/2021";"19";"0";"19";"4652";"4839"
"03/10/2021";"18";"3";"21";"4670";"4860"
"03/11/2021";"20";"1";"21";"4690";"4881"
"03/12/2021";"20";"0";"20";"4710";"4901"
"03/13/2021";"12";"0";"12";"4722";"4913"
"03/14/2021";"8";"0";"8";"4730";"4921"
"03/15/2021";"22";"1";"23";"4752";"4944"
"03/16/2021";"23";"2";"25";"4775";"4969"
"03/17/2021";"14";"1";"15";"4789";"4984"
"03/18/2021";"32";"3";"35";"4821";"5019"
"03/19/2021";"17";"1";"18";"4838";"5037"
"03/20/2021";"7";"2";"9";"4845";"5046"
"03/21/2021";"19";"2";"21";"4864";"5067"
"03/22/2021";"28";"0";"28";"4892";"5095"
"03/23/2021";"33";"1";"34";"4925";"5129"
"03/24/2021";"41";"2";"43";"4966";"5172"
"03/25/2021";"33";"0";"33";"4999";"5205"
"03/26/2021";"33";"1";"34";"5032";"5239"
"03/27/2021";"17";"0";"17";"5049";"5256"
"03/28/2021";"16";"0";"16";"5065";"5272"
"03/29/2021";"30";"1";"31";"5095";"5303"
"03/30/2021";"20";"0";"20";"5115";"5323"
"03/31/2021";"36";"4";"40";"5151";"5363"
"04/01/2021";"25";"1";"26";"5176";"5389"
"04/02/2021";"9";"3";"12";"5185";"5401"
"04/03/2021";"17";"0";"17";"5202";"5418"
"04/04/2021";"12";"1";"13";"5214";"5431"
"04/05/2021";"22";"1";"23";"5236";"5454"
"04/06/2021";"31";"1";"32";"5267";"5486"
"04/07/2021";"39";"2";"41";"5306";"5527"
"04/08/2021";"33";"1";"34";"5339";"5561"
"04/09/2021";"26";"4";"30";"5365";"5591"
"04/10/2021";"21";"2";"23";"5386";"5614"
"04/11/2021";"10";"3";"13";"5396";"5627"
"04/12/2021";"20";"1";"21";"5416";"5648"
"04/13/2021";"33";"2";"35";"5449";"5683"
"04/14/2021";"14";"3";"17";"5463";"5700"
"04/15/2021";"24";"1";"25";"5487";"5725"
"04/16/2021";"13";"2";"15";"5500";"5740"
"04/17/2021";"17";"1";"18";"5517";"5758"
"04/18/2021";"7";"0";"7";"5524";"5765"
"04/19/2021";"10";"1";"11";"5534";"5776"
"04/20/2021";"15";"1";"16";"5549";"5792"
"04/21/2021";"10";"3";"13";"5559";"5805"
"04/22/2021";"13";"0";"13";"5572";"5818"
"04/23/2021";"11";"1";"12";"5583";"5830"
"04/24/2021";"7";"1";"8";"5590";"5838"
"04/25/2021";"9";"1";"10";"5599";"5848"
"04/26/2021";"15";"0";"15";"5614";"5863"
"04/27/2021";"13";"1";"14";"5627";"5877"
"04/28/2021";"6";"0";"6";"5633";"5883"
"04/29/2021";"6";"0";"6";"5639";"5889"
"04/30/2021";"12";"1";"13";"5651";"5902"
"05/01/2021";"8";"0";"8";"5659";"5910"
"05/02/2021";"3";"0";"3";"5662";"5913"
"05/03/2021";"9";"0";"9";"5671";"5922"
"05/04/2021";"2";"1";"3";"5673";"5925"
"05/05/2021";"7";"1";"8";"5680";"5933"
"05/06/2021";"2";"0";"2";"5682";"5935"
"05/07/2021";"3";"0";"3";"5685";"5938"
"05/08/2021";"5";"0";"5";"5690";"5943"
"05/09/2021";"2";"0";"2";"5692";"5945"
"05/10/2021";"4";"0";"4";"5696";"5949"
"05/11/2021";"7";"0";"7";"5703";"5956"
"05/12/2021";"0";"0";"0";"5703";"5956"
"05/13/2021";"1";"0";"1";"5704";"5957"
"05/14/2021";"3";"0";"3";"5707";"5960"
"05/15/2021";"2";"0";"2";"5709";"5962"
"05/16/2021";"2";"0";"2";"5711";"5964"
"05/17/2021";"7";"0";"7";"5718";"5971"
"05/18/2021";"4";"3";"7";"5722";"5978"
"05/19/2021";"3";"0";"3";"5725";"5981"
"05/20/2021";"2";"0";"2";"5727";"5983"
"05/21/2021";"2";"0";"2";"5729";"5985"
"05/22/2021";"1";"0";"1";"5730";"5986"
"05/23/2021";"1";"0";"1";"5731";"5987"
"05/24/2021";"1";"1";"2";"5732";"5989"
"05/25/2021";"0";"0";"0";"5732";"5989"
"05/26/2021";"1";"0";"1";"5733";"5990"
"05/27/2021";"1";"0";"1";"5734";"5991"
"05/28/2021";"2";"0";"2";"5736";"5993"
"05/29/2021";"1";"0";"1";"5737";"5994"
"05/30/2021";"0";"0";"0";"5737";"5994"
"05/31/2021";"0";"0";"0";"5737";"5994"
"06/01/2021";"4";"0";"4";"5741";"5998"
"06/02/2021";"2";"0";"2";"5743";"6000"
"06/03/2021";"11";"0";"11";"5754";"6011"
"06/04/2021";"2";"0";"2";"5756";"6013"
"06/05/2021";"1";"0";"1";"5757";"6014"
"06/06/2021";"2";"0";"2";"5759";"6016"
"06/07/2021";"1";"0";"1";"5760";"6017"
"06/08/2021";"2";"0";"2";"5762";"6019"
"06/09/2021";"0";"0";"0";"5762";"6019"
"06/10/2021";"1";"0";"1";"5763";"6020"
"06/11/2021";"0";"0";"0";"5763";"6020"
"06/12/2021";"1";"0";"1";"5764";"6021"
"06/13/2021";"0";"0";"0";"5764";"6021"
"06/14/2021";"0";"0";"0";"5764";"6021"
"06/15/2021";"0";"0";"0";"5764";"6021"
"06/16/2021";"0";"0";"0";"5764";"6021"
"06/17/2021";"1";"0";"1";"5765";"6022"
"06/18/2021";"0";"0";"0";"5765";"6022"
"06/19/2021";"2";"1";"3";"5767";"6025"
"06/20/2021";"0";"0";"0";"5767";"6025"
"06/21/2021";"0";"0";"0";"5767";"6025"
"06/22/2021";"1";"0";"1";"5768";"6026"
"06/23/2021";"2";"0";"2";"5770";"6028"
"06/24/2021";"1";"0";"1";"5771";"6029"
"06/25/2021";"0";"1";"1";"5771";"6030"
"06/26/2021";"0";"0";"0";"5771";"6030"
"06/27/2021";"0";"1";"1";"5771";"6031"
"06/28/2021";"2";"1";"3";"5773";"6034"
"06/29/2021";"2";"0";"2";"5775";"6036"
"06/30/2021";"1";"1";"2";"5776";"6038"
"07/01/2021";"2";"0";"2";"5778";"6040"
"07/02/2021";"4";"0";"4";"5782";"6044"
"07/03/2021";"0";"0";"0";"5782";"6044"
"07/04/2021";"0";"0";"0";"5782";"6044"
"07/05/2021";"0";"0";"0";"5782";"6044"
"07/06/2021";"2";"0";"2";"5784";"6046"
"07/07/2021";"4";"0";"4";"5788";"6050"
"07/08/2021";"6";"1";"7";"5794";"6057"
"07/09/2021";"1";"0";"1";"5795";"6058"
"07/10/2021";"1";"0";"1";"5796";"6059"
"07/11/2021";"4";"0";"4";"5800";"6063"
"07/12/2021";"6";"0";"6";"5806";"6069"
"07/13/2021";"9";"2";"11";"5815";"6080"
"07/14/2021";"3";"1";"4";"5818";"6084"
"07/15/2021";"4";"0";"4";"5822";"6088"
"07/16/2021";"8";"1";"9";"5830";"6097"
"07/17/2021";"5";"0";"5";"5835";"6102"
"07/18/2021";"6";"0";"6";"5841";"6108"
"07/19/2021";"14";"1";"15";"5855";"6123"
"07/20/2021";"15";"2";"17";"5870";"6140"
"07/21/2021";"13";"0";"13";"5883";"6153"
"07/22/2021";"19";"1";"20";"5902";"6173"
"07/23/2021";"9";"1";"10";"5911";"6183"
"07/24/2021";"6";"0";"6";"5917";"6189"
"07/25/2021";"6";"0";"6";"5923";"6195"
"07/26/2021";"16";"0";"16";"5939";"6211"
"07/27/2021";"9";"1";"10";"5948";"6221"
"07/28/2021";"18";"0";"18";"5966";"6239"
"07/29/2021";"19";"1";"20";"5985";"6259"
"07/30/2021";"9";"2";"11";"5994";"6270"
"07/31/2021";"5";"0";"5";"5999";"6275"
"08/01/2021";"8";"0";"8";"6007";"6283"
"08/02/2021";"18";"0";"18";"6025";"6301"
"08/03/2021";"9";"0";"9";"6034";"6310"
"08/04/2021";"13";"0";"13";"6047";"6323"
"08/05/2021";"14";"1";"15";"6061";"6338"
"08/06/2021";"20";"0";"20";"6081";"6358"
"08/07/2021";"2";"0";"2";"6083";"6360"
